Instance,Global Circuit layer,Local Circuit Layer,Number of Teleported Qubits,Total Number of Teleported Qubits,Number of Teleported Qubit Swaps,Total Number of Teleported Qubits Minus Swaps,q_a,q_b,q_c,q_d,q_e,q_f,q_g,q_h,q_i,q_j,q_k,q_l,q_m,q_n,q_o
5,66,11,0,33,0,19,M_0,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1
6,66,0,0,33,0,19,M_0,M_1,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1
6,67,1,1,34,0,20,M_0,M_0,M_1,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1
6,68,2,2,36,1,21,M_0,M_0,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_0,M_1
6,69,3,0,36,0,21,M_0,M_0,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_0,M_1
6,70,4,0,36,0,21,M_0,M_0,M_1,M_0,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_0,M_1
6,71,5,1,37,0,22,M_0,M_0,M_1,M_1,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_0,M_1
6,72,6,0,37,0,22,M_0,M_0,M_1,M_1,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_0,M_1
6,73,7,0,37,0,22,M_0,M_0,M_1,M_1,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_0,M_1
6,74,8,0,37,0,22,M_0,M_0,M_1,M_1,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_0,M_1
6,75,9,0,37,0,22,M_0,M_0,M_1,M_1,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_0,M_1
6,76,10,0,37,0,22,M_0,M_0,M_1,M_1,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_0,M_1
6,77,11,0,37,0,22,M_0,M_0,M_1,M_1,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_0,M_1
7,77,0,0,37,0,22,M_0,M_0,M_1,M_1,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_0,M_1
7,78,1,0,37,0,22,M_0,M_0,M_1,M_1,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_0,M_1
7,79,2,4,41,2,24,M_0,M_0,M_0,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1
7,80,3,0,41,0,24,M_0,M_0,M_0,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1
7,81,4,0,41,0,24,M_0,M_0,M_0,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1
7,82,5,0,41,0,24,M_0,M_0,M_0,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1
7,83,6,0,41,0,24,M_0,M_0,M_0,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1
7,84,7,0,41,0,24,M_0,M_0,M_0,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1
7,85,8,0,41,0,24,M_0,M_0,M_0,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1
7,86,9,0,41,0,24,M_0,M_0,M_0,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1
7,87,10,0,41,0,24,M_0,M_0,M_0,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1
7,88,11,0,41,0,24,M_0,M_0,M_0,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1
8,88,0,0,41,0,24,M_0,M_0,M_0,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1
8,89,1,0,41,0,24,M_0,M_0,M_0,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1
8,90,2,2,43,1,25,M_0,M_0,M_0,M_1,M_1,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1
8,91,3,0,43,0,25,M_0,M_0,M_0,M_1,M_1,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1
8,92,4,0,43,0,25,M_0,M_0,M_0,M_1,M_1,M_0,M_1,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1
8,93,5,2,45,1,26,M_0,M_0,M_0,M_1,M_1,M_0,M_1,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1
8,94,6,0,45,0,26,M_0,M_0,M_0,M_1,M_1,M_0,M_1,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1
8,95,7,0,45,0,26,M_0,M_0,M_0,M_1,M_1,M_0,M_1,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1
8,96,8,0,45,0,26,M_0,M_0,M_0,M_1,M_1,M_0,M_1,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1
8,97,9,0,45,0,26,M_0,M_0,M_0,M_1,M_1,M_0,M_1,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1
8,98,10,0,45,0,26,M_0,M_0,M_0,M_1,M_1,M_0,M_1,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1
8,99,11,0,45,0,26,M_0,M_0,M_0,M_1,M_1,M_0,M_1,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1
9,99,0,0,45,0,26,M_0,M_0,M_0,M_1,M_1,M_0,M_1,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1
9,100,1,2,47,1,27,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_0,M_1,M_0,M_1,M_1,M_1,M_1
9,101,2,0,47,0,27,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_0,M_1,M_0,M_1,M_1,M_1,M_1
9,102,3,0,47,0,27,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_0,M_1,M_0,M_1,M_1,M_1,M_1
9,103,4,4,51,2,29,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1
9,104,5,0,51,0,29,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1
9,105,6,0,51,0,29,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1
9,106,7,0,51,0,29,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1
9,107,8,0,51,0,29,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1
9,108,9,0,51,0,29,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1
9,109,10,0,51,0,29,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1
9,110,11,0,51,0,29,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1
10,110,0,0,51,0,29,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1
10,111,1,0,51,0,29,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1
10,112,2,0,51,0,29,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1
10,113,3,1,52,0,30,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_0,M_1
10,114,4,1,53,0,31,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_1
10,115,5,0,53,0,31,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_1
10,116,6,0,53,0,31,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_1
10,117,7,0,53,0,31,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_1
10,118,8,0,53,0,31,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_1
10,119,9,0,53,0,31,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_1
10,120,10,0,53,0,31,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_1
10,121,11,0,53,0,31,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_1
11,121,0,0,53,0,31,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_1
11,122,1,0,53,0,31,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_1
11,123,2,0,53,0,31,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_1
11,124,3,2,55,1,32,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_0,M_1
11,125,4,0,55,0,32,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_0,M_1
11,126,5,0,55,0,32,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_0,M_1
11,127,6,1,56,0,33,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_1,M_1,M_1,M_0,M_1
11,128,7,0,56,0,33,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_1,M_1,M_1,M_0,M_1
11,129,8,0,56,0,33,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_1,M_1,M_1,M_0,M_1
11,130,9,0,56,0,33,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_1,M_1,M_1,M_0,M_1
11,131,10,0,56,0,33,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_1,M_1,M_1,M_0,M_1
11,132,11,0,56,0,33,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_1,M_1,M_1,M_0,M_1
12,132,0,0,56,0,33,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_1,M_1,M_1,M_0,M_1
12,133,1,3,59,1,35,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_1
12,134,2,0,59,0,35,M_0,M_0,M_0,M_0,M_0,M_1,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_1
12,135,3,1,60,0,36,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_1
12,136,4,0,60,0,36,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_1
12,137,5,0,60,0,36,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_1
12,138,6,0,60,0,36,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_1
12,139,7,0,60,0,36,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_1
12,140,8,0,60,0,36,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_1
12,141,9,0,60,0,36,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_1
12,142,10,0,60,0,36,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_1
12,143,11,0,60,0,36,M_0,M_0,M_0,M_0,M_0,M_0,M_0,M_1,M_1,M_1,M_1,M_1,M_1,M_0,M_1
