Instance,Global Circuit layer,Local Circuit Layer,Number of Teleported Qubits,Total Number of Teleported Qubits,Number of Teleported Qubit Swaps,Total Number of Teleported Qubits Minus Swaps,q_x1,q_x2,q_x3,q_x4,q_x5,q_x6,q_x7,q_x8,q_x9,q_x10,q_x11,q_x12,q_x13,q_x14,q_x15,q_x16,q_x17,q_x18,q_x19,q_x20,q_x21,q_x22,q_x23,q_x24,q_x25,q_x26,q_x27,q_x28,q_x29,q_x30,q_x31,q_x32,q_x33,q_x34,q_x35,q_x36,q_x37,q_x38,q_x39,q_x40,q_x41,q_x42,q_x43,q_x44,q_x45,q_x46,q_x47,q_x48,q_x49,q_x50,q_s1,q_s2,q_s3,q_s4,q_s5,q_s6
1,9,2,1,11,0,9,M_0,M_0,M_3,M_3,M_3,M_3,M_2,M_2,M_3,M_3,M_1,M_0,M_1,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_1,M_2,M_3,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_1,M_4,M_0
1,10,3,0,11,0,9,M_0,M_0,M_3,M_3,M_3,M_3,M_2,M_2,M_3,M_3,M_1,M_0,M_1,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_1,M_2,M_3,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_1,M_4,M_0
1,11,4,0,11,0,9,M_0,M_0,M_3,M_3,M_3,M_3,M_2,M_2,M_3,M_3,M_1,M_0,M_1,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_1,M_2,M_3,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_1,M_4,M_0
1,12,5,0,11,0,9,M_0,M_0,M_3,M_3,M_3,M_3,M_2,M_2,M_3,M_3,M_1,M_0,M_1,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_1,M_2,M_3,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_1,M_4,M_0
1,13,6,0,11,0,9,M_0,M_0,M_3,M_3,M_3,M_3,M_2,M_2,M_3,M_3,M_1,M_0,M_1,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_1,M_2,M_3,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_1,M_4,M_0
1,14,7,0,11,0,9,M_0,M_0,M_3,M_3,M_3,M_3,M_2,M_2,M_3,M_3,M_1,M_0,M_1,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_1,M_2,M_3,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_1,M_4,M_0
2,14,0,0,11,0,9,M_0,M_0,M_3,M_3,M_3,M_3,M_2,M_2,M_3,M_3,M_1,M_0,M_1,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_1,M_2,M_3,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_1,M_4,M_0
2,15,1,2,13,0,11,M_0,M_0,M_1,M_3,M_3,M_3,M_3,M_2,M_3,M_3,M_1,M_0,M_1,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_1,M_2,M_3,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_1,M_4,M_0
2,16,2,1,14,0,12,M_0,M_0,M_1,M_3,M_3,M_3,M_3,M_2,M_4,M_3,M_1,M_0,M_1,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_1,M_2,M_3,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_1,M_4,M_0
2,17,3,2,16,0,14,M_0,M_0,M_1,M_3,M_3,M_3,M_3,M_2,M_4,M_3,M_1,M_0,M_1,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_1,M_2,M_3,M_4,M_2,M_0,M_0,M_0,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_3,M_4,M_0
2,18,4,1,17,0,15,M_0,M_0,M_1,M_3,M_3,M_3,M_3,M_3,M_4,M_3,M_1,M_0,M_1,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_1,M_2,M_3,M_4,M_2,M_0,M_0,M_0,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_3,M_4,M_0
2,19,5,0,17,0,15,M_0,M_0,M_1,M_3,M_3,M_3,M_3,M_3,M_4,M_3,M_1,M_0,M_1,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_1,M_2,M_3,M_4,M_2,M_0,M_0,M_0,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_3,M_4,M_0
2,20,6,0,17,0,15,M_0,M_0,M_1,M_3,M_3,M_3,M_3,M_3,M_4,M_3,M_1,M_0,M_1,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_1,M_2,M_3,M_4,M_2,M_0,M_0,M_0,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_3,M_4,M_0
2,21,7,0,17,0,15,M_0,M_0,M_1,M_3,M_3,M_3,M_3,M_3,M_4,M_3,M_1,M_0,M_1,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_1,M_2,M_3,M_4,M_2,M_0,M_0,M_0,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_3,M_4,M_0
3,21,0,0,17,0,15,M_0,M_0,M_1,M_3,M_3,M_3,M_3,M_3,M_4,M_3,M_1,M_0,M_1,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_1,M_2,M_3,M_4,M_2,M_0,M_0,M_0,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_3,M_4,M_0
3,22,1,2,19,0,17,M_0,M_0,M_1,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_1,M_0,M_1,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_1,M_2,M_3,M_4,M_2,M_0,M_0,M_0,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_3,M_4,M_0
3,23,2,0,19,0,17,M_0,M_0,M_1,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_1,M_0,M_1,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_1,M_2,M_3,M_4,M_2,M_0,M_0,M_0,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_3,M_4,M_0
3,24,3,0,19,0,17,M_0,M_0,M_1,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_1,M_0,M_1,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_1,M_2,M_3,M_4,M_2,M_0,M_0,M_0,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_3,M_4,M_0
3,25,4,0,19,0,17,M_0,M_0,M_1,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_1,M_0,M_1,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_1,M_2,M_3,M_4,M_2,M_0,M_0,M_0,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_3,M_4,M_0
3,26,5,0,19,0,17,M_0,M_0,M_1,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_1,M_0,M_1,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_1,M_2,M_3,M_4,M_2,M_0,M_0,M_0,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_3,M_4,M_0
3,27,6,0,19,0,17,M_0,M_0,M_1,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_1,M_0,M_1,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_1,M_2,M_3,M_4,M_2,M_0,M_0,M_0,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_3,M_4,M_0
3,28,7,0,19,0,17,M_0,M_0,M_1,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_1,M_0,M_1,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_1,M_2,M_3,M_4,M_2,M_0,M_0,M_0,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_3,M_4,M_0
4,28,0,0,19,0,17,M_0,M_0,M_1,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_1,M_0,M_1,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_3,M_1,M_1,M_1,M_2,M_3,M_4,M_2,M_0,M_0,M_0,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_3,M_4,M_0
4,29,1,2,21,0,19,M_0,M_0,M_1,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_1,M_0,M_1,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_2,M_1,M_1,M_1,M_2,M_4,M_4,M_2,M_0,M_0,M_0,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_3,M_4,M_0
4,30,2,1,22,0,20,M_0,M_0,M_1,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_1,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_2,M_1,M_1,M_1,M_2,M_4,M_4,M_2,M_0,M_0,M_0,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_3,M_4,M_0
4,31,3,1,23,0,21,M_0,M_0,M_1,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_1,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_2,M_1,M_1,M_1,M_2,M_4,M_4,M_2,M_0,M_0,M_0,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_3,M_4,M_0
4,32,4,0,23,0,21,M_0,M_0,M_1,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_1,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_2,M_1,M_1,M_1,M_2,M_4,M_4,M_2,M_0,M_0,M_0,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_3,M_4,M_0
4,33,5,0,23,0,21,M_0,M_0,M_1,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_1,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_2,M_1,M_1,M_1,M_2,M_4,M_4,M_2,M_0,M_0,M_0,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_3,M_4,M_0
4,34,6,0,23,0,21,M_0,M_0,M_1,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_1,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_2,M_1,M_1,M_1,M_2,M_4,M_4,M_2,M_0,M_0,M_0,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_3,M_4,M_0
4,35,7,0,23,0,21,M_0,M_0,M_1,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_1,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_2,M_1,M_1,M_1,M_2,M_4,M_4,M_2,M_0,M_0,M_0,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_3,M_4,M_0
5,35,0,0,23,0,21,M_0,M_0,M_1,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_1,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_2,M_1,M_1,M_1,M_2,M_4,M_4,M_2,M_0,M_0,M_0,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_3,M_4,M_0
5,36,1,0,23,0,21,M_0,M_0,M_1,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_1,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_2,M_1,M_1,M_1,M_2,M_4,M_4,M_2,M_0,M_0,M_0,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_3,M_4,M_0
5,37,2,2,25,1,22,M_0,M_0,M_1,M_2,M_1,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_2,M_1,M_1,M_1,M_2,M_4,M_4,M_2,M_0,M_0,M_0,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_3,M_4,M_0
5,38,3,0,25,0,22,M_0,M_0,M_1,M_2,M_1,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_2,M_1,M_1,M_1,M_2,M_4,M_4,M_2,M_0,M_0,M_0,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_3,M_4,M_0
5,39,4,0,25,0,22,M_0,M_0,M_1,M_2,M_1,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_0,M_2,M_4,M_4,M_2,M_0,M_0,M_2,M_1,M_1,M_1,M_2,M_4,M_4,M_2,M_0,M_0,M_0,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_3,M_4,M_0
5,40,5,2,27,0,24,M_0,M_0,M_1,M_2,M_1,M_1,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_2,M_4,M_4,M_2,M_0,M_0,M_2,M_1,M_1,M_1,M_2,M_4,M_4,M_2,M_0,M_0,M_0,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_3,M_4,M_0
5,41,6,0,27,0,24,M_0,M_0,M_1,M_2,M_1,M_1,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_2,M_4,M_4,M_2,M_0,M_0,M_2,M_1,M_1,M_1,M_2,M_4,M_4,M_2,M_0,M_0,M_0,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_3,M_4,M_0
5,42,7,0,27,0,24,M_0,M_0,M_1,M_2,M_1,M_1,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_2,M_4,M_4,M_2,M_0,M_0,M_2,M_1,M_1,M_1,M_2,M_4,M_4,M_2,M_0,M_0,M_0,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_3,M_4,M_0
6,42,0,0,27,0,24,M_0,M_0,M_1,M_2,M_1,M_1,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_2,M_4,M_4,M_2,M_0,M_0,M_2,M_1,M_1,M_1,M_2,M_4,M_4,M_2,M_0,M_0,M_0,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_3,M_4,M_0
6,43,1,0,27,0,24,M_0,M_0,M_1,M_2,M_1,M_1,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_2,M_4,M_4,M_2,M_0,M_0,M_2,M_1,M_1,M_1,M_2,M_4,M_4,M_2,M_0,M_0,M_0,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_3,M_4,M_0
6,44,2,1,28,0,25,M_0,M_0,M_1,M_2,M_1,M_1,M_3,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_2,M_4,M_4,M_2,M_0,M_0,M_2,M_1,M_1,M_1,M_2,M_4,M_4,M_2,M_0,M_0,M_0,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_3,M_4,M_0
6,45,3,0,28,0,25,M_0,M_0,M_1,M_2,M_1,M_1,M_3,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_2,M_4,M_4,M_2,M_0,M_0,M_2,M_1,M_1,M_1,M_2,M_4,M_4,M_2,M_0,M_0,M_0,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_3,M_4,M_0
6,46,4,1,29,0,26,M_0,M_0,M_1,M_2,M_1,M_1,M_3,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_2,M_0,M_0,M_2,M_1,M_1,M_1,M_2,M_4,M_4,M_2,M_0,M_0,M_0,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_3,M_4,M_0
6,47,5,0,29,0,26,M_0,M_0,M_1,M_2,M_1,M_1,M_3,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_2,M_0,M_0,M_2,M_1,M_1,M_1,M_2,M_4,M_4,M_2,M_0,M_0,M_0,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_3,M_4,M_0
6,48,6,0,29,0,26,M_0,M_0,M_1,M_2,M_1,M_1,M_3,M_2,M_3,M_3,M_3,M_3,M_3,M_3,M_3,M_4,M_4,M_2,M_0,M_0,M_2,M_1,M_1,M_1,M_2,M_4,M_4,M_2,M_0,M_0,M_0,M_1,M_1,M_2,M_4,M_4,M_1,M_4,M_0,M_2,M_2,M_2,M_4,M_1,M_1,M_2,M_4,M_4,M_4,M_0,M_3,M_3,M_3,M_3,M_4,M_0
