Instance,Global Circuit layer,Local Circuit Layer,Number of Teleported Qubits,Total Number of Teleported Qubits,Number of Teleported Qubit Swaps,Total Number of Teleported Qubits Minus Swaps,q_a,q_b,q_c,q_d,q_e,q_f,q_g,q_h,q_i,q_j,q_k,q_l,q_m,q_n,q_o
0,15,15,0,16,0,11,M_1,M_2,M_2,M_0,M_1,M_2,M_1,M_1,M_0,M_2,M_2,M_1,M_0,M_0,M_0
0,16,16,0,16,0,11,M_1,M_2,M_2,M_0,M_1,M_2,M_1,M_1,M_0,M_2,M_2,M_1,M_0,M_0,M_0
0,17,17,2,18,1,12,M_1,M_2,M_2,M_2,M_1,M_2,M_1,M_1,M_0,M_2,M_0,M_1,M_0,M_0,M_0
0,18,18,0,18,0,12,M_1,M_2,M_2,M_2,M_1,M_2,M_1,M_1,M_0,M_2,M_0,M_1,M_0,M_0,M_0
1,18,0,0,18,0,12,M_1,M_2,M_2,M_2,M_1,M_2,M_1,M_1,M_0,M_2,M_0,M_1,M_0,M_0,M_0
1,19,1,3,21,0,15,M_1,M_2,M_2,M_2,M_1,M_2,M_1,M_1,M_1,M_0,M_0,M_2,M_0,M_0,M_0
1,20,2,2,23,1,16,M_1,M_2,M_2,M_2,M_0,M_2,M_1,M_1,M_1,M_1,M_0,M_2,M_0,M_0,M_0
1,21,3,0,23,0,16,M_1,M_2,M_2,M_2,M_0,M_2,M_1,M_1,M_1,M_1,M_0,M_2,M_0,M_0,M_0
1,22,4,2,25,1,17,M_1,M_2,M_2,M_2,M_0,M_2,M_1,M_1,M_1,M_1,M_2,M_0,M_0,M_0,M_0
1,23,5,0,25,0,17,M_1,M_2,M_2,M_2,M_0,M_2,M_1,M_1,M_1,M_1,M_2,M_0,M_0,M_0,M_0
1,24,6,0,25,0,17,M_1,M_2,M_2,M_2,M_0,M_2,M_1,M_1,M_1,M_1,M_2,M_0,M_0,M_0,M_0
1,25,7,2,27,1,18,M_1,M_2,M_2,M_2,M_2,M_2,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0
1,26,8,2,29,1,19,M_0,M_2,M_2,M_2,M_2,M_2,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0
1,27,9,0,29,0,19,M_0,M_2,M_2,M_2,M_2,M_2,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0
1,28,10,2,31,1,20,M_0,M_2,M_2,M_2,M_2,M_1,M_1,M_1,M_1,M_1,M_2,M_0,M_0,M_0,M_0
1,29,11,0,31,0,20,M_0,M_2,M_2,M_2,M_2,M_1,M_1,M_1,M_1,M_1,M_2,M_0,M_0,M_0,M_0
1,30,12,0,31,0,20,M_0,M_2,M_2,M_2,M_2,M_1,M_1,M_1,M_1,M_1,M_2,M_0,M_0,M_0,M_0
1,31,13,0,31,0,20,M_0,M_2,M_2,M_2,M_2,M_1,M_1,M_1,M_1,M_1,M_2,M_0,M_0,M_0,M_0
1,32,14,2,33,1,21,M_2,M_2,M_2,M_2,M_2,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0
1,33,15,2,35,1,22,M_2,M_2,M_2,M_2,M_2,M_1,M_0,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0
1,34,16,2,37,1,23,M_2,M_2,M_2,M_2,M_2,M_1,M_0,M_1,M_1,M_1,M_0,M_0,M_1,M_0,M_0
1,35,17,2,39,1,24,M_2,M_2,M_2,M_2,M_2,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0
1,36,18,0,39,0,24,M_2,M_2,M_2,M_2,M_2,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0
2,36,0,0,39,0,24,M_2,M_2,M_2,M_2,M_2,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0
2,37,1,0,39,0,24,M_2,M_2,M_2,M_2,M_2,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0
2,38,2,5,44,1,28,M_2,M_1,M_2,M_2,M_2,M_0,M_1,M_1,M_0,M_1,M_0,M_0,M_1,M_2,M_0
2,39,3,0,44,0,28,M_2,M_1,M_2,M_2,M_2,M_0,M_1,M_1,M_0,M_1,M_0,M_0,M_1,M_2,M_0
2,40,4,2,46,1,29,M_2,M_1,M_2,M_2,M_2,M_1,M_1,M_1,M_0,M_1,M_0,M_0,M_0,M_2,M_0
2,41,5,2,48,1,30,M_2,M_1,M_2,M_2,M_2,M_1,M_1,M_1,M_0,M_1,M_2,M_0,M_0,M_0,M_0
2,42,6,2,50,1,31,M_2,M_1,M_2,M_2,M_0,M_1,M_1,M_1,M_0,M_1,M_2,M_0,M_0,M_2,M_0
2,43,7,0,50,0,31,M_2,M_1,M_2,M_2,M_0,M_1,M_1,M_1,M_0,M_1,M_2,M_0,M_0,M_2,M_0
2,44,8,2,52,1,32,M_2,M_1,M_2,M_2,M_0,M_1,M_1,M_1,M_0,M_1,M_0,M_0,M_2,M_2,M_0
2,45,9,0,52,0,32,M_2,M_1,M_2,M_2,M_0,M_1,M_1,M_1,M_0,M_1,M_0,M_0,M_2,M_2,M_0
2,46,10,0,52,0,32,M_2,M_1,M_2,M_2,M_0,M_1,M_1,M_1,M_0,M_1,M_0,M_0,M_2,M_2,M_0
2,47,11,0,52,0,32,M_2,M_1,M_2,M_2,M_0,M_1,M_1,M_1,M_0,M_1,M_0,M_0,M_2,M_2,M_0
2,48,12,3,55,0,35,M_2,M_1,M_2,M_2,M_0,M_1,M_1,M_2,M_1,M_1,M_0,M_0,M_0,M_2,M_0
2,49,13,2,57,1,36,M_2,M_1,M_2,M_2,M_0,M_1,M_1,M_2,M_1,M_1,M_0,M_0,M_2,M_0,M_0
2,50,14,0,57,0,36,M_2,M_1,M_2,M_2,M_0,M_1,M_1,M_2,M_1,M_1,M_0,M_0,M_2,M_0,M_0
2,51,15,0,57,0,36,M_2,M_1,M_2,M_2,M_0,M_1,M_1,M_2,M_1,M_1,M_0,M_0,M_2,M_0,M_0
2,52,16,4,61,2,38,M_2,M_1,M_2,M_2,M_1,M_1,M_0,M_2,M_1,M_1,M_2,M_0,M_0,M_0,M_0
2,53,17,0,61,0,38,M_2,M_1,M_2,M_2,M_1,M_1,M_0,M_2,M_1,M_1,M_2,M_0,M_0,M_0,M_0
2,54,18,0,61,0,38,M_2,M_1,M_2,M_2,M_1,M_1,M_0,M_2,M_1,M_1,M_2,M_0,M_0,M_0,M_0
3,54,0,0,61,0,38,M_2,M_1,M_2,M_2,M_1,M_1,M_0,M_2,M_1,M_1,M_2,M_0,M_0,M_0,M_0
3,55,1,4,65,2,40,M_2,M_1,M_2,M_2,M_2,M_1,M_0,M_1,M_1,M_1,M_0,M_0,M_2,M_0,M_0
3,56,2,0,65,0,40,M_2,M_1,M_2,M_2,M_2,M_1,M_0,M_1,M_1,M_1,M_0,M_0,M_2,M_0,M_0
3,57,3,0,65,0,40,M_2,M_1,M_2,M_2,M_2,M_1,M_0,M_1,M_1,M_1,M_0,M_0,M_2,M_0,M_0
3,58,4,0,65,0,40,M_2,M_1,M_2,M_2,M_2,M_1,M_0,M_1,M_1,M_1,M_0,M_0,M_2,M_0,M_0
3,59,5,0,65,0,40,M_2,M_1,M_2,M_2,M_2,M_1,M_0,M_1,M_1,M_1,M_0,M_0,M_2,M_0,M_0
3,60,6,0,65,0,40,M_2,M_1,M_2,M_2,M_2,M_1,M_0,M_1,M_1,M_1,M_0,M_0,M_2,M_0,M_0
3,61,7,0,65,0,40,M_2,M_1,M_2,M_2,M_2,M_1,M_0,M_1,M_1,M_1,M_0,M_0,M_2,M_0,M_0
3,62,8,0,65,0,40,M_2,M_1,M_2,M_2,M_2,M_1,M_0,M_1,M_1,M_1,M_0,M_0,M_2,M_0,M_0
3,63,9,0,65,0,40,M_2,M_1,M_2,M_2,M_2,M_1,M_0,M_1,M_1,M_1,M_0,M_0,M_2,M_0,M_0
3,64,10,2,67,1,41,M_2,M_2,M_2,M_2,M_2,M_1,M_0,M_1,M_1,M_1,M_0,M_0,M_1,M_0,M_0
3,65,11,0,67,0,41,M_2,M_2,M_2,M_2,M_2,M_1,M_0,M_1,M_1,M_1,M_0,M_0,M_1,M_0,M_0
3,66,12,2,69,1,42,M_2,M_2,M_2,M_2,M_2,M_1,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_1,M_0
3,67,13,0,69,0,42,M_2,M_2,M_2,M_2,M_2,M_1,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_1,M_0
3,68,14,0,69,0,42,M_2,M_2,M_2,M_2,M_2,M_1,M_0,M_0,M_1,M_1,M_0,M_0,M_1,M_1,M_0
3,69,15,2,71,1,43,M_2,M_2,M_2,M_2,M_2,M_1,M_0,M_1,M_1,M_1,M_0,M_0,M_1,M_0,M_0
3,70,16,2,73,1,44,M_2,M_2,M_2,M_2,M_2,M_1,M_1,M_1,M_0,M_1,M_0,M_0,M_1,M_0,M_0
3,71,17,0,73,0,44,M_2,M_2,M_2,M_2,M_2,M_1,M_1,M_1,M_0,M_1,M_0,M_0,M_1,M_0,M_0
3,72,18,0,73,0,44,M_2,M_2,M_2,M_2,M_2,M_1,M_1,M_1,M_0,M_1,M_0,M_0,M_1,M_0,M_0
4,72,0,0,73,0,44,M_2,M_2,M_2,M_2,M_2,M_1,M_1,M_1,M_0,M_1,M_0,M_0,M_1,M_0,M_0
4,73,1,2,75,1,45,M_2,M_2,M_2,M_2,M_2,M_1,M_1,M_1,M_1,M_1,M_0,M_0,M_0,M_0,M_0
4,74,2,2,77,1,46,M_2,M_2,M_2,M_2,M_1,M_1,M_1,M_1,M_1,M_2,M_0,M_0,M_0,M_0,M_0
4,75,3,0,77,0,46,M_2,M_2,M_2,M_2,M_1,M_1,M_1,M_1,M_1,M_2,M_0,M_0,M_0,M_0,M_0
4,76,4,0,77,0,46,M_2,M_2,M_2,M_2,M_1,M_1,M_1,M_1,M_1,M_2,M_0,M_0,M_0,M_0,M_0
4,77,5,2,79,1,47,M_2,M_2,M_2,M_1,M_1,M_2,M_1,M_1,M_1,M_2,M_0,M_0,M_0,M_0,M_0
4,78,6,0,79,0,47,M_2,M_2,M_2,M_1,M_1,M_2,M_1,M_1,M_1,M_2,M_0,M_0,M_0,M_0,M_0
4,79,7,0,79,0,47,M_2,M_2,M_2,M_1,M_1,M_2,M_1,M_1,M_1,M_2,M_0,M_0,M_0,M_0,M_0
4,80,8,0,79,0,47,M_2,M_2,M_2,M_1,M_1,M_2,M_1,M_1,M_1,M_2,M_0,M_0,M_0,M_0,M_0
4,81,9,2,81,1,48,M_1,M_2,M_2,M_1,M_1,M_2,M_2,M_1,M_1,M_2,M_0,M_0,M_0,M_0,M_0
4,82,10,0,81,0,48,M_1,M_2,M_2,M_1,M_1,M_2,M_2,M_1,M_1,M_2,M_0,M_0,M_0,M_0,M_0
4,83,11,0,81,0,48,M_1,M_2,M_2,M_1,M_1,M_2,M_2,M_1,M_1,M_2,M_0,M_0,M_0,M_0,M_0
4,84,12,0,81,0,48,M_1,M_2,M_2,M_1,M_1,M_2,M_2,M_1,M_1,M_2,M_0,M_0,M_0,M_0,M_0
4,85,13,0,81,0,48,M_1,M_2,M_2,M_1,M_1,M_2,M_2,M_1,M_1,M_2,M_0,M_0,M_0,M_0,M_0
4,86,14,2,83,1,49,M_1,M_1,M_2,M_1,M_1,M_2,M_2,M_1,M_2,M_2,M_0,M_0,M_0,M_0,M_0
4,87,15,0,83,0,49,M_1,M_1,M_2,M_1,M_1,M_2,M_2,M_1,M_2,M_2,M_0,M_0,M_0,M_0,M_0
4,88,16,0,83,0,49,M_1,M_1,M_2,M_1,M_1,M_2,M_2,M_1,M_2,M_2,M_0,M_0,M_0,M_0,M_0
4,89,17,0,83,0,49,M_1,M_1,M_2,M_1,M_1,M_2,M_2,M_1,M_2,M_2,M_0,M_0,M_0,M_0,M_0
